frame,dt,N,areaSigned,areaAbs,targetArea,areaErr,perim,minEdge,maxEdge,avgEdge,flipped,selfIntersect,grabbed,dragInside,iters,areaStiff,edgeStiff,diagStiff,maxCorr,damping
0,0.000000,20,27888.785156,27888.785156,38276.382812,10387.597656,594.450989,29.722519,29.722569,29.722549,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
1,0.020485,20,30993.500000,30993.500000,38276.382812,7282.882812,626.666626,31.333302,31.333366,31.333332,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
2,0.016667,20,31921.386719,31921.386719,38276.382812,6354.996094,635.977966,31.798864,31.798939,31.798899,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
3,0.016667,20,31260.199219,31260.199219,38276.382812,7016.183594,629.357117,31.467815,31.467936,31.467855,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
4,0.016667,20,31020.968750,31020.968750,38276.382812,7255.414062,626.944336,31.347185,31.347265,31.347218,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
5,0.016667,20,31153.099609,31153.099609,38276.382812,7123.283203,628.278076,31.413839,31.413948,31.413904,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
6,0.016667,20,31213.105469,31213.105469,38276.382812,7063.277344,628.882874,31.444069,31.444193,31.444143,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
7,0.016667,20,31187.085938,31187.085938,38276.382812,7089.296875,628.620728,31.430992,31.431076,31.431036,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
8,0.016667,20,31172.406250,31172.406250,38276.382812,7103.976562,628.472717,31.423607,31.423677,31.423635,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
9,0.016667,20,31177.400391,31177.400391,38276.382812,7098.982422,628.523010,31.426096,31.426222,31.426151,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
10,0.016667,20,31180.935547,31180.935547,38276.382812,7095.447266,628.558716,31.427870,31.428038,31.427937,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
11,0.016667,20,31180.005859,31180.005859,38276.382812,7096.376953,628.549316,31.427395,31.427525,31.427465,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
12,0.016723,20,31179.173828,31179.173828,38276.382812,7097.208984,628.540955,31.426970,31.427092,31.427048,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
13,0.016667,20,31179.285156,31179.285156,38276.382812,7097.097656,628.542114,31.427025,31.427172,31.427105,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
14,0.016667,20,31179.451172,31179.451172,38276.382812,7096.931641,628.543701,31.427135,31.427258,31.427185,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
15,0.016667,20,31179.574219,31179.574219,38276.382812,7096.808594,628.544861,31.427195,31.427324,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
16,0.016667,20,31179.601562,31179.601562,38276.382812,7096.781250,628.545227,31.427151,31.427353,31.427261,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
17,0.016667,20,31179.558594,31179.558594,38276.382812,7096.824219,628.544800,31.427086,31.427378,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
18,0.016667,20,31179.523438,31179.523438,38276.382812,7096.859375,628.544495,31.427011,31.427376,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
19,0.016667,20,31179.498047,31179.498047,38276.382812,7096.884766,628.544128,31.426975,31.427374,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
20,0.016667,20,31179.470703,31179.470703,38276.382812,7096.912109,628.543823,31.426991,31.427372,31.427191,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
21,0.016667,20,31179.476562,31179.476562,38276.382812,7096.906250,628.544006,31.426964,31.427341,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
22,0.016667,20,31179.484375,31179.484375,38276.382812,7096.898438,628.544128,31.426989,31.427349,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
23,0.016667,20,31179.498047,31179.498047,38276.382812,7096.884766,628.544189,31.427021,31.427359,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
24,0.016667,20,31179.507812,31179.507812,38276.382812,7096.875000,628.544250,31.427042,31.427368,31.427212,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
25,0.016667,20,31179.519531,31179.519531,38276.382812,7096.863281,628.544373,31.427042,31.427397,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
26,0.016667,20,31179.533203,31179.533203,38276.382812,7096.849609,628.544556,31.427065,31.427408,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
27,0.016667,20,31179.542969,31179.542969,38276.382812,7096.839844,628.544617,31.427063,31.427408,31.427231,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
28,0.016667,20,31179.554688,31179.554688,38276.382812,7096.828125,628.544800,31.427063,31.427408,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
29,0.016667,20,31179.560547,31179.560547,38276.382812,7096.822266,628.544861,31.427063,31.427408,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
30,0.016670,20,31179.550781,31179.550781,38276.382812,7096.832031,628.544800,31.427086,31.427408,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
31,0.016667,20,31179.541016,31179.541016,38276.382812,7096.841797,628.544678,31.427050,31.427452,31.427235,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
32,0.016667,20,31179.535156,31179.535156,38276.382812,7096.847656,628.544617,31.427050,31.427408,31.427231,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
33,0.016667,20,31179.525391,31179.525391,38276.382812,7096.857422,628.544434,31.427076,31.427366,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
34,0.016667,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544373,31.427082,31.427359,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
35,0.016667,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544373,31.427082,31.427359,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
36,0.016667,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544373,31.427061,31.427345,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
37,0.016668,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544495,31.427061,31.427345,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
38,0.016667,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544434,31.427086,31.427345,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
39,0.016667,20,31179.519531,31179.519531,38276.382812,7096.863281,628.544434,31.427061,31.427345,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
40,0.016667,20,31179.519531,31179.519531,38276.382812,7096.863281,628.544373,31.427090,31.427359,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
41,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544373,31.427086,31.427414,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
