frame,dt,N,areaSigned,areaAbs,targetArea,perim,selfInt,lockedCount,grabbed,dragInside
0,0.000000,20,37391.058594,37391.058594,38013.273438,688.311707,0,0,-1,0
1,0.016676,20,38101.750000,38101.750000,38013.273438,694.822144,0,0,-1,0
2,0.016667,20,38347.898438,38347.898438,38013.273438,697.062988,0,0,-1,0
3,0.016667,20,38190.316406,38190.316406,38013.273438,695.629272,0,0,-1,0
4,0.016667,20,38112.343750,38112.343750,38013.273438,694.918701,0,0,-1,0
5,0.016667,20,38144.609375,38144.609375,38013.273438,695.212891,0,0,-1,0
6,0.016817,20,38167.640625,38167.640625,38013.273438,695.422791,0,0,-1,0
7,0.016667,20,38161.707031,38161.707031,38013.273438,695.368652,0,0,-1,0
8,0.016667,20,38155.253906,38155.253906,38013.273438,695.309998,0,0,-1,0
9,0.016667,20,38156.050781,38156.050781,38013.273438,695.317261,0,0,-1,0
10,0.016667,20,38157.859375,38157.859375,38013.273438,695.333740,0,0,-1,0
11,0.016667,20,38157.984375,38157.984375,38013.273438,695.334778,0,0,-1,0
12,0.016667,20,38157.453125,38157.453125,38013.273438,695.329956,0,0,-1,0
13,0.016667,20,38157.324219,38157.324219,38013.273438,695.328735,0,0,-1,0
14,0.016667,20,38157.343750,38157.343750,38013.273438,695.328857,0,0,-1,0
15,0.016667,20,38157.386719,38157.386719,38013.273438,695.329407,0,0,-1,0
16,0.016667,20,38157.433594,38157.433594,38013.273438,695.329712,0,0,-1,0
17,0.016667,20,38157.441406,38157.441406,38013.273438,695.329834,0,0,-1,0
18,0.016667,20,38157.441406,38157.441406,38013.273438,695.329834,0,0,-1,0
19,0.016667,20,38157.441406,38157.441406,38013.273438,695.329834,0,0,-1,0
20,0.016667,20,38157.441406,38157.441406,38013.273438,695.329834,0,0,-1,0
21,0.016667,20,38157.441406,38157.441406,38013.273438,695.329895,0,0,-1,0
22,0.016667,20,38157.445312,38157.445312,38013.273438,695.329834,0,0,-1,0
23,0.016667,20,38157.445312,38157.445312,38013.273438,695.329895,0,0,-1,0
24,0.016703,20,38157.449219,38157.449219,38013.273438,695.329895,0,0,-1,0
25,0.016667,20,38157.457031,38157.457031,38013.273438,695.330017,0,0,-1,0
26,0.016670,20,38157.457031,38157.457031,38013.273438,695.329895,0,0,-1,0
27,0.016667,20,38157.445312,38157.445312,38013.273438,695.329834,0,0,-1,0
28,0.016667,20,38157.441406,38157.441406,38013.273438,695.329895,0,0,-1,0
29,0.016667,20,38157.441406,38157.441406,38013.273438,695.329834,0,0,-1,0
30,0.016667,20,38157.449219,38157.449219,38013.273438,695.329895,0,0,-1,0
31,0.016667,20,38157.453125,38157.453125,38013.273438,695.329956,0,0,-1,0
32,0.016667,20,38157.457031,38157.457031,38013.273438,695.329956,0,0,-1,0
33,0.016667,20,38157.464844,38157.464844,38013.273438,695.330139,0,0,-1,0
34,0.016667,20,38157.480469,38157.480469,38013.273438,695.330200,0,0,-1,0
35,0.016667,20,38157.488281,38157.488281,38013.273438,695.330261,0,0,-1,0
36,0.016667,20,38157.496094,38157.496094,38013.273438,695.330322,0,0,-1,0
37,0.016667,20,38157.500000,38157.500000,38013.273438,695.330383,0,0,-1,0
38,0.016667,20,38157.503906,38157.503906,38013.273438,695.330444,0,0,-1,0
39,0.016667,20,38157.496094,38157.496094,38013.273438,695.330322,0,0,-1,0
40,0.016667,20,38157.488281,38157.488281,38013.273438,695.330322,0,0,-1,0
41,0.016798,20,38157.480469,38157.480469,38013.273438,695.330200,0,0,-1,0
42,0.016667,20,38157.468750,38157.468750,38013.273438,695.330078,0,0,-1,0
43,0.016667,20,38157.468750,38157.468750,38013.273438,695.330139,0,0,-1,0
44,0.016667,20,38157.464844,38157.464844,38013.273438,695.330078,0,0,-1,0
45,0.016667,20,38157.453125,38157.453125,38013.273438,695.329956,0,0,-1,0
46,0.016667,20,38157.445312,38157.445312,38013.273438,695.329834,0,0,-1,0
47,0.016667,20,38157.449219,38157.449219,38013.273438,695.329956,0,0,-1,0
48,0.016667,20,38157.449219,38157.449219,38013.273438,695.329956,0,0,-1,0
49,0.016667,20,38157.457031,38157.457031,38013.273438,695.329956,0,0,-1,0
50,0.016667,20,38157.464844,38157.464844,38013.273438,695.330017,0,0,-1,0
51,0.016667,20,38157.460938,38157.460938,38013.273438,695.330017,0,0,-1,0
52,0.016667,20,38157.453125,38157.453125,38013.273438,695.329956,0,0,-1,0
53,0.016667,20,38157.449219,38157.449219,38013.273438,695.329895,0,0,-1,0
