frame,mode,viseme,open,openT,wide,wideT,round,roundT,smile,smileT,width,height,area,areaT,fill,teeth
1,sprite_expr,X,0.0600,0.0500,0.3500,0.4500,0.0500,0.0000,0.7500,0.7800,0.00,0.00,0.00,6223.11,0,0
3,sprite_expr,X,-2.3110,0.0500,24.0597,0.4500,-11.8049,0.0000,7.8629,0.7800,0.00,0.00,0.00,9016.48,0,0
5,sprite_expr,X,-0.4707,0.0500,5.6573,0.4500,-2.6037,0.0000,2.3422,0.7800,0.00,0.00,0.00,6490.38,0,0
7,sprite_expr,X,-0.2294,0.0500,3.2444,0.4500,-1.3972,0.0000,1.6183,0.7800,0.00,0.00,0.00,4808.07,0,0
9,sprite_expr,X,-0.0661,0.0500,1.6112,0.4500,-0.5806,0.0000,1.1284,0.7800,0.00,0.00,0.00,3813.41,0,0
11,sprite_expr,X,0.0427,0.0500,0.5233,0.4500,-0.0366,0.0000,0.8020,0.7800,0.00,0.00,0.00,3298.67,0,0
13,sprite_expr,X,0.1122,0.0500,-0.1719,0.4500,0.3109,0.0000,0.5934,0.7800,0.00,0.00,0.00,3082.12,0,0
15,sprite_expr,X,0.1547,0.0500,-0.5969,0.4500,0.5234,0.0000,0.4659,0.7800,0.00,0.00,0.00,3031.44,0,0
17,sprite_expr,X,0.1785,0.0500,-0.8355,0.4500,0.6427,0.0000,0.3944,0.7800,0.00,0.00,0.00,3059.04,0,0
19,sprite_expr,X,0.1897,0.0500,-0.9471,0.4500,0.6986,0.0000,0.3609,0.7800,0.00,0.00,0.00,3111.82,0,0
21,sprite_expr,X,0.1924,0.0500,-0.9740,0.4500,0.7120,0.0000,0.3528,0.7800,0.00,0.00,0.00,3160.64,0,0
23,sprite_expr,X,0.1896,0.0500,-0.9457,0.4500,0.6979,0.0000,0.3613,0.7800,0.00,0.00,0.00,3191.80,0,0
25,sprite_expr,X,0.1833,0.0500,-0.8831,0.4500,0.6666,0.0000,0.3801,0.7800,0.00,0.00,0.00,3200.92,0,0
27,sprite_expr,X,0.1750,0.0500,-0.8005,0.4500,0.6252,0.0000,0.4049,0.7800,0.00,0.00,0.00,3188.75,0,0
29,sprite_expr,X,0.1658,0.0500,-0.7076,0.4500,0.5788,0.0000,0.4327,0.7800,0.00,0.00,0.00,3158.53,0,0
31,sprite_expr,X,0.1561,0.0500,-0.6113,0.4500,0.5306,0.0000,0.4616,0.7800,0.00,0.00,0.00,3114.39,0,0
33,sprite_expr,X,0.1466,0.0500,-0.5158,0.4500,0.4829,0.0000,0.4903,0.7800,0.00,0.00,0.00,3060.44,0,0
35,sprite_expr,X,0.1374,0.0500,-0.4238,0.4500,0.4369,0.0000,0.5179,0.7800,0.00,0.00,0.00,3000.38,0,0
37,sprite_expr,X,0.1287,0.0500,-0.3370,0.4500,0.3935,0.0000,0.5439,0.7800,0.00,0.00,0.00,2937.25,0,0
39,sprite_expr,X,0.1206,0.0500,-0.2564,0.4500,0.3532,0.0000,0.5681,0.7800,0.00,0.00,0.00,2873.46,0,0
41,sprite_expr,X,0.1132,0.0500,-0.1822,0.4500,0.3161,0.0000,0.5903,0.7800,0.00,0.00,0.00,2810.78,0,0
43,sprite_expr,X,0.1065,0.0500,-0.1146,0.4500,0.2823,0.0000,0.6106,0.7800,0.00,0.00,0.00,2750.51,0,0
45,sprite_expr,X,0.1003,0.0500,-0.0532,0.4500,0.2516,0.0000,0.6290,0.7800,0.00,0.00,0.00,2693.47,0,0
47,sprite_expr,X,0.0948,0.0500,0.0021,0.4500,0.2240,0.0000,0.6456,0.7800,0.00,0.00,0.00,2640.19,0,0
49,sprite_expr,X,0.0898,0.0500,0.0518,0.4500,0.1991,0.0000,0.6605,0.7800,0.00,0.00,0.00,2590.92,0,0
51,sprite_expr,X,0.0854,0.0500,0.0963,0.4500,0.1769,0.0000,0.6739,0.7800,0.00,0.00,0.00,2545.74,0,0
53,sprite_expr,X,0.0814,0.0500,0.1361,0.4500,0.1570,0.0000,0.6858,0.7800,0.00,0.00,0.00,2504.58,0,0
55,sprite_expr,X,0.0778,0.0500,0.1715,0.4500,0.1392,0.0000,0.6965,0.7800,0.00,0.00,0.00,2467.28,0,0
57,sprite_expr,X,0.0747,0.0500,0.2031,0.4500,0.1234,0.0000,0.7059,0.7800,0.00,0.00,0.00,2433.63,0,0
59,sprite_expr,X,0.0719,0.0500,0.2312,0.4500,0.1094,0.0000,0.7144,0.7800,0.00,0.00,0.00,2403.39,0,0
61,sprite_expr,X,0.0694,0.0500,0.2562,0.4500,0.0969,0.0000,0.7219,0.7800,0.00,0.00,0.00,2376.29,0,0
63,sprite_expr,X,0.0672,0.0500,0.2784,0.4500,0.0858,0.0000,0.7285,0.7800,0.00,0.00,0.00,2352.07,0,0
65,sprite_expr,X,0.0652,0.0500,0.2980,0.4500,0.0760,0.0000,0.7344,0.7800,0.00,0.00,0.00,2330.46,0,0
67,sprite_expr,X,0.0635,0.0500,0.3155,0.4500,0.0673,0.0000,0.7396,0.7800,0.00,0.00,0.00,2311.21,0,0
69,sprite_expr,X,0.0619,0.0500,0.3309,0.4500,0.0595,0.0000,0.7443,0.7800,0.00,0.00,0.00,2294.10,0,0
71,sprite_expr,X,0.0605,0.0500,0.3446,0.4500,0.0527,0.0000,0.7484,0.7800,0.00,0.00,0.00,2278.89,0,0
73,sprite_expr,X,0.0593,0.0500,0.3568,0.4500,0.0466,0.0000,0.7520,0.7800,0.00,0.00,0.00,2265.40,0,0
75,sprite_expr,X,0.0583,0.0500,0.3675,0.4500,0.0413,0.0000,0.7552,0.7800,0.00,0.00,0.00,2253.43,0,0
77,sprite_expr,X,0.0573,0.0500,0.3770,0.4500,0.0365,0.0000,0.7581,0.7800,0.00,0.00,0.00,2242.82,0,0
79,sprite_expr,X,0.0565,0.0500,0.3854,0.4500,0.0323,0.0000,0.7606,0.7800,0.00,0.00,0.00,2233.42,0,0
81,sprite_expr,X,0.0557,0.0500,0.3929,0.4500,0.0286,0.0000,0.7629,0.7800,0.00,0.00,0.00,2225.10,0,0
