TIMESTAMP | MOOD QUERY (V,A,C,N,O) | NEIGHBOR 1 (Dist) | NEIGHBOR 2 (Dist) | WEIGHTS | CRITICAL PARAMS
---------------------------------------------------------------------------------------------------
[15] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[30] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[45] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[60] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[75] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[90] Query: 0.78,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[105] Query: -0.74,0.40,0.80 | WINNER: face_pixel_annoyed (Dist: 0.44)
[120] Query: -0.64,0.40,0.80 | WINNER: face_pixel_annoyed (Dist: 0.39)
[135] Query: 0.38,0.40,0.80 | WINNER: face_smug (Dist: 0.06)
[150] Query: 0.59,0.40,0.80 | WINNER: face_happy_talking (Dist: 0.02)
[165] Query: 0.60,0.40,0.80 | WINNER: face_happy_talking (Dist: 0.02)
[180] Query: 0.60,0.40,0.80 | WINNER: face_happy_talking (Dist: 0.02)
[195] Query: 0.60,0.40,0.80 | WINNER: face_happy_talking (Dist: 0.02)
[210] Query: 0.60,0.40,0.80 | WINNER: face_happy_talking (Dist: 0.02)
