TIMESTAMP | MOOD QUERY (V,A,C,N,O) | NEIGHBOR 1 (Dist) | NEIGHBOR 2 (Dist) | WEIGHTS | CRITICAL PARAMS
---------------------------------------------------------------------------------------------------
[15] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[30] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[45] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[60] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[75] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[90] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[105] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[120] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[135] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[150] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[165] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[180] Query: 0.80,0.40,0.80 | WINNER: face_happy_standard (Dist: 0.00)
[195] Query: 0.80,0.41,0.80 | WINNER: face_pixel_smile (Dist: 0.00)
[210] Query: 0.80,0.29,0.80 | WINNER: face_happy_standard (Dist: 0.01)
[225] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.01)
[240] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.01)
[255] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.01)
[270] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.01)
[285] Query: 0.80,0.28,0.80 | WINNER: face_silly_tongue (Dist: 0.18)
[300] Query: 0.80,0.28,0.80 | WINNER: face_kawaii_sparkle (Dist: 0.28)
[315] Query: 0.80,0.28,0.80 | WINNER: face_silly_tongue (Dist: 0.17)
[330] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.11)
[345] Query: 0.80,0.28,0.80 | WINNER: face_kawaii_sparkle (Dist: 0.28)
[360] Query: 0.80,0.28,0.80 | WINNER: face_silly_tongue (Dist: 0.26)
[375] Query: 0.80,0.28,0.80 | WINNER: face_silly_tongue (Dist: 0.17)
[390] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.10)
[405] Query: 0.80,0.28,0.80 | WINNER: face_happy_standard (Dist: 0.05)
