filename|text
S05E19_BMO_Vocals_SPEAKER_02_46.44.wav|We will, we will, we will.
S10E09_BMO_Vocals_SPEAKER_06_177.52.wav|I'll be right here!
S05E17_BMO_Vocals_SPEAKER_03_317.83.wav|I think my batteries are wet.
S05E16_BMO_Vocals_SPEAKER_02_449.91.wav|Jake, you drive a hard burger.
S07E14_BMO_Vocals_SPEAKER_04_599.81.wav|Are you a Mo too?
S05E06_BMO_Vocals_SPEAKER_03_39.84.wav|Puppies!
S01E15_BMO_Vocals_SPEAKER_05_409.20.wav|That was a great plan!
S05E28_BMO_Vocals_SPEAKER_12_106.71.wav|Please take me to get fixed.
S08E21_BMO_Vocals_SPEAKER_07_636.88.wav|That's not right.
S04E17_BMO_Vocals_SPEAKER_03_135.18.wav|Calm down, big guy.
S04E17_BMO_Vocals_SPEAKER_03_381.12.wav|Why would Ronnie swipe the sock?
S07E17_BMO_Vocals_SPEAKER_00_233.29.wav|Are you gonna apologize or- Horses do not talk.
S05E23_BMO_Vocals_SPEAKER_03_289.38.wav|No, I like organized sound.
S01E15_BMO_Vocals_SPEAKER_05_259.15.wav|Sneaking.
S11E01_BMO_Vocals_SPEAKER_04_739.16.wav|Because BMO has a mission.
S07E05_BMO_Vocals_SPEAKER_05_255.80.wav|Football, are you okay?
S07E17_BMO_Vocals_SPEAKER_04_225.90.wav|Yet, the devil is still here, sleeping in my couch.
S07E05_BMO_Vocals_SPEAKER_03_88.96.wav|Because I love you.
S08E22_BMO_Vocals_SPEAKER_01_661.34.wav|And Susan too, I guess.
S06E08_BMO_Vocals_SPEAKER_08_59.55.wav|Friar Tux would never have a mustache like that.
S05E28_BMO_Vocals_SPEAKER_12_92.71.wav|I didn't do nothing!
S11E01_BMO_Vocals_SPEAKER_17_777.59.wav|With my ship gone, I'm trapped here.
S08E02_BMO_Vocals_SPEAKER_02_670.64.wav|I just had the most wonderful dream.
S07E14_BMO_Vocals_SPEAKER_05_550.23.wav|It doesn't seem like it.
S09E02_BMO_Vocals_SPEAKER_04_184.67.wav|But we haven't gone through any portals.
S08E05_BMO_Vocals_SPEAKER_02_646.53.wav|You mean some people are just a pure city sidewalk boom-boom from a rat dunk and that's all there is to it?
S07E14_BMO_Vocals_SPEAKER_04_236.48.wav|But won't Finn and Jake miss me?
S11E01_BMO_Vocals_SPEAKER_17_146.05.wav|Boy, that meteoroid storm was scary.
S06E35_BMO_Vocals_SPEAKER_07_188.97.wav|A hole, you say?
S05E33_BMO_Vocals_SPEAKER_05_345.81.wav|This is sick!
S07E14_BMO_Vocals_SPEAKER_05_1230.09.wav|I think I just killed someone.
S06E34_BMO_Vocals_SPEAKER_02_158.29.wav|Give the man what he wants.
S11E01_BMO_Vocals_SPEAKER_16_1981.72.wav|You were always just a cute sidekick.
S11E01_BMO_Vocals_SPEAKER_04_73.39.wav|I wrote this song for my head!
S09E01_BMO_Vocals_SPEAKER_01_87.42.wav|Good night, weird cloud.
S05E06_BMO_Vocals_SPEAKER_03_644.43.wav|I've got all the bread you need.
S01E23_BMO_Vocals_SPEAKER_04_100.92.wav|That is an interesting response, but I'll shut down.
S07E14_BMO_Vocals_SPEAKER_05_812.15.wav|What if we use this trash to climb up to the vent?
S10E03_BMO_Vocals_SPEAKER_06_70.61.wav|Yeah, dump it in, stir it up.
S07E05_BMO_Vocals_SPEAKER_03_390.55.wav|How did you get in the spoon?
S07E17_BMO_Vocals_SPEAKER_07_579.51.wav|I am old enough to vote.
S11E01_BMO_Vocals_SPEAKER_17_55.07.wav|That's gotta be the biggest comet I ever did, I... What the heck?
S07E05_BMO_Vocals_SPEAKER_03_336.87.wav|So the best thing everyone can do is forget about him.
S06E08_BMO_Vocals_SPEAKER_08_42.32.wav|Stand and deliver it, boy, because I'm Robin Hood.
S11E01_BMO_Vocals_SPEAKER_04_1761.58.wav|Lucky this hole was here.
S05E17_BMO_Vocals_SPEAKER_02_206.31.wav|He must be lost, like us.
S01E15_BMO_Vocals_SPEAKER_05_258.03.wav|Sneaking.
S10E09_BMO_Vocals_SPEAKER_09_74.79.wav|He leaves them for me when he goes out.
S11E01_BMO_Vocals_SPEAKER_04_1987.46.wav|You know I'm an empath.
S05E10_BMO_Vocals_SPEAKER_04_200.21.wav|I just thought you kept better company.
S05E07_BMO_Vocals_SPEAKER_02_138.14.wav|SUCKS Finn can go outside today.
S07E17_BMO_Vocals_SPEAKER_04_129.39.wav|One sandwich per horse hour.
S10E09_BMO_Vocals_SPEAKER_09_72.37.wav|My Jake Valentines.
S05E17_BMO_Vocals_SPEAKER_03_179.00.wav|I was listening to your story.
S07E19_BMO_Vocals_SPEAKER_06_34.57.wav|I'm your host, Starchy.
S05E28_BMO_Vocals_SPEAKER_12_130.61.wav|Okay, now straight down this place.
S05E06_BMO_Vocals_SPEAKER_06_34.27.wav|Puppies!
S08E05_BMO_Vocals_SPEAKER_02_662.95.wav|Did you notice I got the mouth just right?
S10E03_BMO_Vocals_SPEAKER_00_384.89.wav|Like how Neptr only just found out there is a face on his can, and now he thinks the can is his conjoined twin.
S05E28_BMO_Vocals_SPEAKER_12_285.91.wav|That's where the driver ports are!
S07E17_BMO_Vocals_SPEAKER_04_121.38.wav|Putting my safety and my reputation on the line.
S09E11_BMO_Vocals_SPEAKER_02_193.91.wav|Finn sang a song even though he was asleep.
