layer,tensor,dispatch,rows,cols,n_outliers,rel_l2,max_abs_diff,gate,status
0,linear_in,tilemajor,22528,4096,461373,3.453485e-07,2.145767e-06,2e-05,PASS
0,linear_out,rowminor,4096,11264,230687,6.858655e-07,2.384186e-06,2e-05,PASS
1,linear_in,tilemajor,22528,4096,461373,1.279078e-06,1.430511e-06,2e-05,PASS
1,linear_out,rowminor,4096,11264,230687,6.795006e-07,4.768372e-07,2e-05,PASS
2,linear_in,tilemajor,22528,4096,461373,6.783842e-07,3.278255e-07,2e-05,PASS
2,linear_out,rowminor,4096,11264,230687,7.166781e-07,4.470348e-08,2e-05,PASS
3,linear_in,tilemajor,22528,4096,461373,8.444888e-07,1.430511e-05,2e-05,PASS
3,linear_out,rowminor,4096,11264,230687,4.135568e-07,1.525879e-05,2e-05,PASS
4,linear_in,tilemajor,22528,4096,461373,9.794287e-07,3.874302e-07,2e-05,PASS
4,linear_out,rowminor,4096,11264,230687,6.744252e-07,1.788139e-07,2e-05,PASS
5,linear_in,tilemajor,22528,4096,461373,7.967675e-07,2.384186e-06,2e-05,PASS
5,linear_out,rowminor,4096,11264,230687,1.045357e-06,2.288818e-05,2e-05,PASS
6,linear_in,tilemajor,22528,4096,461373,8.002266e-07,3.725290e-07,2e-05,PASS
6,linear_out,rowminor,4096,11264,230687,7.849921e-07,1.341105e-07,2e-05,PASS
7,linear_in,tilemajor,22528,4096,461373,9.298715e-07,4.172325e-07,2e-05,PASS
7,linear_out,rowminor,4096,11264,230687,7.997860e-07,1.788139e-07,2e-05,PASS
8,linear_in,tilemajor,22528,4096,461373,1.119423e-06,5.662441e-07,2e-05,PASS
8,linear_out,rowminor,4096,11264,230687,9.637258e-07,1.993030e-07,2e-05,PASS
9,linear_in,tilemajor,22528,4096,461373,1.420071e-06,6.109476e-07,2e-05,PASS
9,linear_out,rowminor,4096,11264,230687,1.649101e-06,8.160714e-08,2e-05,PASS
10,linear_in,tilemajor,22528,4096,461373,9.894929e-07,1.192093e-06,2e-05,PASS
10,linear_out,rowminor,4096,11264,230687,1.029216e-06,1.788139e-07,2e-05,PASS
11,linear_in,tilemajor,22528,4096,461373,1.172274e-06,6.109476e-07,2e-05,PASS
11,linear_out,rowminor,4096,11264,230687,1.329050e-06,1.788139e-07,2e-05,PASS
12,linear_in,tilemajor,22528,4096,461373,1.566195e-06,6.407499e-07,2e-05,PASS
12,linear_out,rowminor,4096,11264,230687,1.025679e-06,4.377216e-08,2e-05,PASS
13,linear_in,tilemajor,22528,4096,461373,1.114771e-06,5.662441e-07,2e-05,PASS
13,linear_out,rowminor,4096,11264,230687,1.280749e-06,5.029142e-08,2e-05,PASS
14,linear_in,tilemajor,22528,4096,461373,9.309591e-07,8.940697e-07,2e-05,PASS
14,linear_out,rowminor,4096,11264,230687,1.302973e-06,1.080334e-07,2e-05,PASS
15,linear_in,tilemajor,22528,4096,461373,9.325315e-07,5.662441e-07,2e-05,PASS
15,linear_out,rowminor,4096,11264,230687,1.025417e-06,5.122274e-08,2e-05,PASS
16,linear_in,tilemajor,22528,4096,461373,9.863497e-07,5.960464e-07,2e-05,PASS
16,linear_out,rowminor,4096,11264,230687,1.142950e-06,6.705523e-08,2e-05,PASS
17,linear_in,tilemajor,22528,4096,461373,9.389519e-07,1.013279e-06,2e-05,PASS
17,linear_out,rowminor,4096,11264,230687,9.518942e-07,2.607703e-07,2e-05,PASS
18,linear_in,tilemajor,22528,4096,461373,9.455816e-07,8.046627e-07,2e-05,PASS
18,linear_out,rowminor,4096,11264,230687,9.366334e-07,5.960464e-08,2e-05,PASS
19,linear_in,tilemajor,22528,4096,461373,9.620318e-07,1.192093e-06,2e-05,PASS
19,linear_out,rowminor,4096,11264,230687,1.143405e-06,1.564622e-07,2e-05,PASS
20,linear_in,tilemajor,22528,4096,461373,8.548558e-07,7.152557e-07,2e-05,PASS
20,linear_out,rowminor,4096,11264,230687,1.666199e-06,3.650784e-07,2e-05,PASS
21,linear_in,tilemajor,22528,4096,461373,1.314311e-06,1.192093e-06,2e-05,PASS
21,linear_out,rowminor,4096,11264,230687,8.441773e-07,1.192093e-07,2e-05,PASS
22,linear_in,tilemajor,22528,4096,461373,9.917987e-07,6.854534e-07,2e-05,PASS
22,linear_out,rowminor,4096,11264,230687,1.092391e-06,7.264316e-08,2e-05,PASS
23,linear_in,tilemajor,22528,4096,461373,1.121281e-06,7.748604e-07,2e-05,PASS
23,linear_out,rowminor,4096,11264,230687,1.185229e-06,1.266599e-07,2e-05,PASS
24,linear_in,tilemajor,22528,4096,461373,9.872459e-07,9.536743e-07,2e-05,PASS
24,linear_out,rowminor,4096,11264,230687,1.175777e-06,1.266599e-07,2e-05,PASS
25,linear_in,tilemajor,22528,4096,461373,1.003346e-06,6.407499e-07,2e-05,PASS
25,linear_out,rowminor,4096,11264,230687,1.239199e-06,6.519258e-08,2e-05,PASS
26,linear_in,tilemajor,22528,4096,461373,1.360484e-06,5.960464e-07,2e-05,PASS
26,linear_out,rowminor,4096,11264,230687,1.234717e-06,7.636845e-08,2e-05,PASS
27,linear_in,tilemajor,22528,4096,461373,8.373970e-07,9.536743e-07,2e-05,PASS
